"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789073716154130838","Fri May 10 23:23:07 +0000 2024","0","tapi pajak dan bea cukai itu beda ..","1789073716154130838","","","in","Bali, Indonesia","0","1","0","https://twitter.com/_parannoul_/status/1789073716154130838","447569165","_parannoul_"
"1789073537451626742","Fri May 10 23:22:25 +0000 2024","0","Kelabui petugas Bea Cukai penumpang wanita ini pilih pakai sepatu Louis Vuitton agar tak kena pajak: Katanya https://t.co/hbhEQDqtP4","1789073537451626742","","","in","","0","0","0","https://twitter.com/didie3180/status/1789073537451626742","1765579361485496320","didie3180"
"1788873432001806619","Fri May 10 23:21:23 +0000 2024","0","@Zer0Failed Bagus tuh supaya aparat bea cukai tak bikin aturan sekehendak mereka","1789073275903238557","","Zer0Failed","in","","0","0","0","https://twitter.com/MufRoben/status/1789073275903238557","1603788060226768899","MufRoben"
"1788847689830142136","Fri May 10 23:16:05 +0000 2024","1","@HumorJonTampan Apalagi nyasar ke Menkeu dan Bea Cukai nya bisa disita rudal itu dan dilelang diem2 ","1789071943867756611","","HumorJonTampan","in","","0","0","0","https://twitter.com/AgungNugro70049/status/1789071943867756611","1764527237251170304","AgungNugro70049"
"1788873432001806619","Fri May 10 23:14:11 +0000 2024","0","@Zer0Failed Bea cukai itu begal berseragam ang","1789071465335398603","","Zer0Failed","in","","0","0","0","https://twitter.com/Cahniyadi/status/1789071465335398603","1622050237509664768","Cahniyadi"
"1788919484084015173","Fri May 10 23:07:40 +0000 2024","0","@tanyarlfes udah nyaman banget sama produk yang satu ini selama 4 tahun nggak pernah ganti produk dan fine fine aja. tapi produknya jauh banget woy shipping cost ke indo nya mahal dan kehalang di bea cukai juga. jadi gue bingung mesti nunggu sampe produknya dateng atau ganti skincare aja?","1789069825379324288","","tanyarlfes","in","Indonesia","0","0","0","https://twitter.com/lostinyoursouls/status/1789069825379324288","4904449746","lostinyoursouls"
"1789069190605033613","Fri May 10 23:05:08 +0000 2024","8","Kinerja Bea Cukai dalam penerimaan negara setiap tahunnya selalu sejalan dengan target bahkan saat terjadi volatilitas harga komoditas akibat perlambatan ekonomi global dan konflik geopolitik sepanjang 2023. ___ Epy Kusnandar Jay Idzes Kedinginan Botak Kang Mus Vina Wahabi https://t.co/RkrmawmFom","1789069190605033613","https://pbs.twimg.com/media/GNQM8P_aIAIZEuq.jpg","","in","East Java, Indonesia","0","3","9","https://twitter.com/Hansunriko/status/1789069190605033613","1349266626844061696","Hansunriko"
"1789069119100457430","Fri May 10 23:04:52 +0000 2024","2","global dan konflik geopolitik sepanjang 2023. Ia menuturkan di Jakarta Rabu bahwa Bea Cukai mengumpulkan penerimaan negara sebesar Rp286 2 triliun atau mencapai 95 4 persen dari target pada tahun lalu. Epy Kusnandar Jay Idzes Kedinginan Botak Kang Mus Vina Wahabi","1789069121763881171","","Nidyna10","in","","0","0","2","https://twitter.com/Nidyna10/status/1789069121763881171","1710309382293004288","Nidyna10"
"1789069119100457430","Fri May 10 23:04:51 +0000 2024","10","Anggota Komisi XI DPR RI Kamrussamad mengatakan bahwa kinerja Bea Cukai dlm penerimaan negara setiap tahunnya selalu sejalan dgn target bahkan saat terjadi volatilitas harga komoditas akibat perlambatan ekonomi Epy Kusnandar Jay Idzes Kedinginan Botak Kang Mus Vina Wahabi https://t.co/7VFOYq5FVZ","1789069119100457430","https://pbs.twimg.com/media/GNQM3KHa4AA6fac.jpg","","in","","0","3","10","https://twitter.com/Nidyna10/status/1789069119100457430","1710309382293004288","Nidyna10"
"1788848906098647266","Fri May 10 23:03:52 +0000 2024","0","@never_alonely Seharusnya Dirjen bea cukai yang mensengsarakan rakyt","1789068870936080873","","never_alonely","in","","0","0","0","https://twitter.com/sparow46092/status/1789068870936080873","1691717431918821376","sparow46092"
"1788816503095300284","Fri May 10 23:03:11 +0000 2024","0","@medyrenaldy_ Kalo di vidnya bang Medy kotak charger yg udh rusak dan koin ada dibawah tatakan Megatronnya. Sementara video DHL tatakannya ga diangkat sama sekali jadi mereka ga ngecek charger dllnya. Apakah emg ga dicek sm bea cukai? Sungguh membingungkan","1789068696851226785","","medyrenaldy_","in","","0","0","0","https://twitter.com/silencebliszz/status/1789068696851226785","1694122482360262658","silencebliszz"
"1789068142498713729","Fri May 10 23:00:59 +0000 2024","9","Anggota Komisi XI DPR RI Kamrussamad mengatakan bahwa kinerja Bea Cukai dalam penerimaan negara setiap tahunnya sejalan dengan target bahkan saat terjadi volatilitas harga komoditas akibat perlambatan ekonomi Epy Kusnandar Jay Idzes Kedinginan Botak Kang Mus Vina Wahabi https://t.co/VWTdrCjBMa","1789068142498713729","https://pbs.twimg.com/media/GNQL_nOaAAAJBvl.jpg","","in","Indonesia","0","4","9","https://twitter.com/Anggita_lung/status/1789068142498713729","2907040202","Anggita_lung"
"1788620098107998665","Fri May 10 23:00:12 +0000 2024","0","@flutterbyyy__ Ada 13 mini pink kak barangkali minat https://t.co/nPrXHAyjs9","1789067948323373456","https://pbs.twimg.com/ext_tw_video_thumb/1789067861610422272/pu/img/zDEFxA2BPV9nLz0_.jpg","flutterbyyy__","in","Kota Surabaya, Jawa Timur","0","0","0","https://twitter.com/martabakmnss/status/1789067948323373456","1559819901983813632","martabakmnss"
"1788873432001806619","Fri May 10 22:58:37 +0000 2024","0","@Zer0Failed Sudah saat ya di hukum mati drijen bea cukai","1789067547083763747","","Zer0Failed","in","","0","0","0","https://twitter.com/sparow46092/status/1789067547083763747","1691717431918821376","sparow46092"
"1789067360118374623","Fri May 10 22:57:52 +0000 2024","0","Bea cukai problematik bgt ya. Kacau kacau ","1789067360118374623","","","in","Yogyakarta","0","0","0","https://twitter.com/Wong_Merapi/status/1789067360118374623","1028831331923329024","Wong_Merapi"
"1788931140713431516","Fri May 10 22:57:35 +0000 2024","0","@tanyarlfes cita cita ak sekarang adalah jadi pegawai bea cukai mwueheheheh","1789067287322095986","","tanyarlfes","in","","0","0","0","https://twitter.com/jts_skyy/status/1789067287322095986","1463485902068465671","jts_skyy"
"1788110888396071085","Fri May 10 22:56:34 +0000 2024","0","@H4l1mun_D1n61n Dulu bea cukai pernah dibekukan beberapa tahun karena kwalitas kerja yang sangat buruk/bobrok &amp; tugasnya digantikan oleh pihak swasta... Apa harus dilakukan pembekuan lagi.... ?? ","1789067032673353814","","H4l1mun_D1n61n","in","","0","0","0","https://twitter.com/ASWibhawa/status/1789067032673353814","3867223278","ASWibhawa"
"1788456622802784510","Fri May 10 22:54:34 +0000 2024","2","@fcbfemeni_idn @TaryokoL @junlearnscrypto @HumorJonTampan @beacukaiRI mungkin salah satu pekerja beacuki..atau keluarga beacukai om..ya sudahlah bela sampai mapus dong","1789066530933870818","","fcbfemeni_idn","in","Yogyakarta","0","1","0","https://twitter.com/DwiCiptaTrans/status/1789066530933870818","623009449","DwiCiptaTrans"
"1789065234390601763","Fri May 10 22:49:25 +0000 2024","5","Alasan tidak ikut JKT48 Personal Meet &amp; Greet Festival Spring Has Come . Mau renang udah dihadang piranha kalau pun selamat nyampai indo udah dihadang bea cukai ️️ https://t.co/71WFw0zmjm","1789065234390601763","https://pbs.twimg.com/media/GNQJWA4boAAuXM7.jpg","","in","Bandung, Jawa Barat","0","0","1","https://twitter.com/fikrishb01/status/1789065234390601763","1538089825","fikrishb01"
